Scan_ID,Angle,Distance
15,354.71875,2547.0
15,355.921875,2543.25
15,357.171875,2525.25
15,358.40625,2520.25
15,359.625,2516.25
15,0.890625,2517.25
15,2.109375,2513.25
15,3.328125,2516.25
15,4.59375,2513.75
15,5.78125,2519.75
15,7.046875,2516.75
15,8.265625,2533.75
15,9.515625,2536.0
15,10.71875,2544.5
15,11.953125,2550.0
15,13.203125,2550.25
15,14.4375,2564.5
15,15.671875,2565.25
15,16.875,2588.75
15,18.125,2608.25
15,19.328125,2622.25
15,20.5625,2635.5
15,21.796875,2649.0
15,23.015625,2673.0
15,24.234375,2702.0
15,25.46875,2716.75
15,26.703125,2733.0
15,27.9375,2773.75
15,29.1875,2756.25
15,30.4375,2645.75
15,31.703125,2518.5
15,32.953125,2492.5
15,34.171875,2536.0
15,35.375,2558.25
15,36.625,2606.5
15,37.859375,2636.0
15,39.078125,2675.5
15,40.28125,2720.75
15,41.53125,2759.0
15,42.734375,2806.5
15,43.953125,2856.25
15,45.1875,2914.0
15,46.421875,2970.75
15,47.625,3045.25
15,48.859375,3103.0
15,50.09375,3164.25
15,51.3125,3231.25
15,52.546875,3336.5
15,53.765625,3413.5
15,54.96875,3503.25
15,56.203125,3602.5
15,57.4375,3638.25
15,58.71875,3455.5
15,59.953125,3443.5
15,61.171875,3382.0
15,62.40625,3237.0
15,63.671875,3219.25
15,64.890625,3229.0
15,66.15625,3209.25
15,67.375,3104.75
15,68.625,3080.25
15,69.859375,3090.25
15,71.078125,3095.0
15,72.359375,2963.5
15,73.578125,2990.25
15,74.8125,2980.5
15,76.03125,3074.25
15,77.265625,3067.25
15,78.515625,3055.25
15,79.75,3021.5
15,80.984375,3013.25
15,82.21875,3003.25
15,83.421875,2998.5
15,84.671875,2984.5
15,85.921875,2982.0
15,87.140625,2966.75
15,88.375,2957.5
15,89.609375,2965.25
15,90.859375,2955.5
15,92.046875,3052.0
15,93.28125,3092.5
15,94.53125,3095.0
15,95.765625,3096.75
15,96.984375,3092.5
15,98.234375,3100.25
15,99.4375,3122.5
15,100.703125,3129.5
15,101.90625,3135.0
15,103.15625,3140.25
15,104.40625,3149.25
15,105.609375,3155.75
15,106.828125,3165.75
15,108.0625,3176.75
15,109.296875,3113.5
15,110.546875,3071.5
15,111.75,3101.25
15,112.96875,3130.5
15,114.21875,3150.25
15,115.453125,3167.5
15,116.65625,3181.5
15,117.921875,3223.5
15,119.109375,3273.75
15,120.375,3322.25
15,121.578125,3364.25
15,122.796875,3388.25
15,124.046875,3424.5
15,125.265625,3451.25
15,126.484375,3501.0
15,127.71875,3501.5
15,128.96875,3413.5
15,130.203125,3341.75
15,131.40625,3273.75
15,132.640625,3236.0
15,134.125,2138.5
15,137.625,2959.5
15,138.859375,2920.0
15,140.078125,2847.25
15,141.34375,2807.75
15,143.015625,1899.5
15,144.234375,1864.0
15,147.515625,2617.75
15,148.734375,2568.5
15,150.0,2548.5
15,151.21875,2523.5
15,152.453125,2527.25
15,154.15625,1694.0
15,155.4375,1683.0
15,156.671875,1671.0
15,157.953125,1653.75
15,159.203125,1633.75
15,160.421875,1624.0
15,161.6875,1620.0
15,162.765625,1835.25
15,164.015625,1803.5
15,165.25,1782.75
15,166.53125,1775.75
15,167.734375,1767.0
15,168.9375,1816.5
15,170.09375,1980.25
15,171.0625,2250.0
15,174.75,2232.5
15,176.015625,2228.25
15,177.234375,2229.25
15,178.453125,2224.75
15,179.71875,2223.25
15,180.953125,2228.25
15,182.15625,2219.75
15,183.40625,2236.0
15,184.640625,2239.25
15,185.84375,2241.25
15,187.078125,2244.5
15,188.328125,2263.75
15,189.515625,2266.5
15,190.78125,2268.25
15,192.015625,2281.5
15,193.234375,2297.5
15,194.46875,2316.5
15,195.671875,2329.0
15,196.90625,2337.5
15,198.15625,2347.0
15,199.375,2361.25
15,200.609375,2389.75
15,201.84375,2405.5
15,203.03125,2422.75
15,204.25,2457.75
15,205.46875,2478.5
15,206.71875,2511.5
15,207.9375,2540.25
15,209.171875,2575.0
15,210.390625,2595.25
15,211.59375,2647.75
15,212.828125,2669.0
15,215.3125,2585.5
15,216.5625,2603.25
15,217.75,2630.5
15,219.03125,2614.5
15,220.21875,2564.25
15,221.515625,2486.75
15,222.765625,2414.0
15,224.0,2365.75
15,225.21875,2307.75
15,226.453125,2262.25
15,227.703125,2213.0
15,228.984375,2165.75
15,230.25,2050.25
15,231.734375,1900.5
15,232.984375,1866.75
15,234.21875,1840.75
15,235.421875,1806.25
15,236.671875,1781.25
15,237.953125,1756.0
15,239.140625,1739.25
15,240.4375,1710.75
15,241.640625,1689.75
15,242.890625,1671.5
15,244.15625,1645.75
15,245.375,1623.5
15,246.640625,1615.0
15,247.875,1599.25
15,249.078125,1592.75
15,250.359375,1574.5
15,251.625,1564.5
15,252.859375,1555.25
15,254.109375,1539.5
15,255.34375,1534.25
15,256.546875,1526.75
15,257.8125,1511.75
15,259.0,1506.0
15,260.265625,1501.5
15,261.53125,1493.5
15,262.765625,1491.25
15,263.9375,1482.75
13,267.078125,2517.25
15,272.453125,432.5
11,272.921875,1074.75
15,281.140625,1501.5
15,282.390625,1504.75
15,283.59375,1510.75
15,284.78125,1524.25
15,286.046875,1525.0
15,287.265625,1536.5
15,288.515625,1544.75
15,289.734375,1559.25
15,290.90625,1568.25
15,292.125,1575.75
15,293.390625,1588.25
15,294.609375,1607.25
15,295.8125,1623.5
15,297.046875,1635.5
15,298.265625,1650.25
15,299.5,1673.25
15,300.671875,1694.25
15,301.90625,1710.0
15,303.109375,1736.5
15,304.375,1763.25
15,305.59375,1793.75
15,306.765625,1806.5
15,307.96875,1841.5
15,309.203125,1875.0
15,310.421875,1911.25
15,311.625,1948.25
15,312.875,1986.25
15,314.078125,2026.25
15,315.078125,2064.0
15,316.3125,2109.5
15,317.484375,2159.5
15,318.71875,2216.5
15,319.9375,2268.25
15,321.125,2327.5
15,322.359375,2378.25
15,323.625,2455.0
15,324.84375,2528.5
15,326.046875,2599.75
15,327.296875,2684.0
15,328.484375,2770.25
15,329.71875,2870.25
15,330.921875,2979.75
15,332.171875,2901.5
15,333.390625,2875.0
15,334.65625,2821.5
15,335.859375,2800.0
15,337.109375,2778.0
15,338.375,2738.25
15,339.59375,2722.75
15,340.8125,2704.0
15,342.046875,2681.5
15,343.296875,2648.75
15,344.546875,2630.5
15,345.765625,2619.0
15,347.015625,2592.5
15,348.25,2614.5
15,349.453125,2592.5
15,350.71875,2560.5
15,351.953125,2564.5
15,354.40625,2551.0
15,355.625,2531.5
15,356.875,2527.0
15,358.125,2533.75
15,359.3125,2518.25
15,0.5625,2518.25
15,1.8125,2526.0
15,3.03125,2516.75
15,4.25,2516.0
15,5.5,2519.0
15,6.703125,2518.75
15,7.9375,2532.0
15,9.1875,2535.5
15,10.390625,2543.25
15,11.640625,2548.0
15,12.875,2560.0
15,14.078125,2551.0
15,15.296875,2578.75
15,16.53125,2587.5
15,17.796875,2599.25
15,19.0,2621.25
15,20.21875,2633.75
15,21.46875,2646.25
15,22.65625,2673.0
15,23.890625,2681.5
15,25.109375,2716.75
15,26.34375,2732.75
15,27.5625,2771.0
15,28.796875,2830.25
15,30.078125,2671.5
15,31.3125,2558.75
15,32.546875,2479.0
15,33.765625,2511.0
15,35.046875,2556.0
15,36.28125,2586.0
15,37.515625,2625.25
15,38.734375,2663.75
15,39.9375,2708.0
15,41.171875,2756.25
15,42.375,2805.0
15,43.609375,2854.75
15,44.84375,2924.0
15,46.078125,2967.75
15,47.296875,3019.0
15,48.515625,3091.5
15,49.734375,3164.5
15,50.953125,3228.75
15,52.1875,3311.25
15,53.40625,3371.5
15,54.609375,3484.25
15,55.84375,3590.5
15,57.0625,3652.0
15,58.3125,3521.25
15,59.609375,3430.5
15,60.84375,3397.75
15,62.109375,3309.25
15,63.359375,3219.25
15,64.59375,3233.75
15,65.8125,3208.0
15,67.078125,3123.25
15,68.3125,3076.0
15,69.5625,3091.25
15,70.78125,3074.25
15,72.015625,3006.75
15,73.265625,2970.0
15,74.5,3007.5
15,75.71875,3066.5
15,76.96875,3066.75
15,78.21875,3055.25
15,79.453125,3020.75
15,80.6875,3013.75
15,81.921875,2991.0
15,83.140625,2986.25
15,84.359375,2982.25
15,85.625,2967.5
15,86.859375,2966.75
15,88.078125,2960.25
15,89.328125,2963.75
15,90.5625,2953.25
15,91.78125,2950.0
15,93.015625,3093.5
15,94.234375,3112.75
15,95.46875,3096.0
15,96.703125,3111.75
15,97.953125,3113.5
15,99.1875,3118.75
15,100.421875,3126.75
15,101.625,3133.25
15,102.859375,3135.0
15,104.09375,3149.0
15,105.359375,3155.75
15,106.515625,3184.25
15,107.75,3196.25
15,109.015625,3010.0
15,110.234375,3091.5
15,111.46875,3080.25
15,112.6875,3129.75
15,113.890625,3148.25
15,115.125,3187.0
15,116.375,3183.5
15,117.609375,3223.5
15,118.828125,3267.75
15,120.0625,3285.5
15,121.296875,3340.5
15,122.515625,3379.75
15,123.734375,3408.25
15,124.953125,3465.5
15,126.203125,3502.75
15,127.40625,3531.5
15,128.65625,3445.75
15,129.90625,3356.0
15,131.109375,3301.25
15,132.34375,3215.0
15,133.8125,2149.5
15,137.3125,2978.75
15,138.53125,2942.5
15,139.75,2894.75
15,141.0,2836.25
15,142.71875,1890.25
15,143.921875,1881.75
15,145.1875,1851.5
15,148.453125,2586.0
15,149.671875,2548.25
15,150.90625,2528.5
15,152.140625,2487.5
15,153.84375,1702.0
15,155.1875,1682.75
15,156.375,1671.25
15,157.609375,1661.25
15,158.875,1642.75
15,160.125,1633.25
15,161.328125,1627.0
15,162.484375,1823.75
15,163.71875,1803.5
15,164.984375,1783.75
15,166.1875,1786.25
15,167.453125,1775.0
15,168.6875,1782.25
15,169.84375,1926.75
15,170.75,2244.0
15,171.984375,2257.0
15,174.453125,2246.25
15,175.671875,2238.5
15,176.921875,2228.0
15,178.15625,2230.0
15,179.34375,2233.0
15,180.59375,2227.75
15,181.8125,2222.75
15,183.0625,2234.0
15,184.28125,2227.0
15,185.53125,2236.5
15,186.75,2242.5
15,187.96875,2262.0
15,189.171875,2266.0
15,190.40625,2275.5
15,191.640625,2280.75
15,192.875,2295.25
15,194.109375,2304.75
15,195.328125,2327.5
15,196.53125,2336.5
15,197.78125,2347.0
15,199.0,2362.75
15,200.21875,2387.75
15,201.46875,2404.5
15,202.734375,2422.0
15,203.953125,2445.5
15,205.15625,2467.25
15,206.375,2501.25
15,207.625,2520.75
15,210.0625,2592.75
15,211.296875,2609.0
15,212.5,2666.25
15,213.765625,2657.25
15,216.234375,2591.5
15,217.453125,2611.5
15,218.6875,2670.25
15,219.9375,2563.25
15,221.1875,2505.0
15,222.390625,2438.0
15,223.6875,2367.5
15,224.890625,2326.0
15,226.140625,2275.5
15,227.390625,2235.75
15,228.640625,2173.25
15,229.875,2145.0
15,231.421875,1901.5
15,232.671875,1883.0
15,233.890625,1850.0
15,235.171875,1822.75
15,236.375,1793.0
15,237.640625,1765.75
15,238.875,1738.75
15,240.125,1710.0
15,241.328125,1697.25
15,242.578125,1672.75
15,243.875,1657.75
15,245.09375,1637.75
15,246.3125,1626.5
15,247.546875,1605.75
15,248.765625,1593.5
15,250.015625,1583.0
15,251.28125,1570.75
15,252.53125,1558.5
15,253.8125,1540.75
15,255.046875,1541.25
15,256.28125,1528.0
15,257.453125,1523.0
15,258.71875,1506.5
15,259.953125,1503.0
15,261.1875,1494.75
15,262.453125,1491.5
15,263.640625,1487.75
15,264.890625,1534.5
11,267.984375,2567.75
12,272.390625,436.25
15,273.34375,434.75
8,272.75,1049.75
15,280.828125,1502.25
15,282.03125,1504.75
15,283.234375,1508.5
15,284.5,1518.75
15,285.71875,1525.25
15,286.953125,1536.25
15,288.140625,1545.75
15,289.328125,1558.5
15,290.609375,1567.25
15,291.8125,1575.25
15,293.0625,1588.5
15,294.21875,1607.0
15,295.484375,1618.25
15,296.703125,1635.25
15,297.90625,1649.5
15,299.125,1673.5
15,300.359375,1687.25
15,301.578125,1710.0
15,302.734375,1746.5
15,304.015625,1760.5
15,305.21875,1782.25
15,306.421875,1806.5
15,307.609375,1837.75
15,308.84375,1874.0
15,310.03125,1909.25
15,311.25,1935.0
15,312.484375,1976.5
15,313.6875,2017.25
15,314.71875,2062.25
15,315.921875,2100.5
15,317.140625,2157.75
15,318.359375,2200.75
15,319.578125,2248.25
15,320.765625,2296.5
15,321.96875,2368.5
15,323.265625,2434.0
15,324.453125,2499.5
